Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation_date,report_date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
351914,Influenza - Avian,;H5N1 HPAI;,48.460134,1.310886,Saint-Aubin-des-Bois (28325),France,Europe,2023-03-10T00:00:00Z,2023-04-26T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
349326,Influenza - Avian,;H5N1 HPAI;,47.858773,2.886873,SAINT-MAURICE-SUR-AVEYRON (45292),France,Europe,2023-03-09T00:00:00Z,2023-03-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
351216,Influenza - Avian,;H5N1 HPAI;,47.59022,1.345095,BLOIS (41018),France,Europe,2023-03-29T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
351221,Influenza - Avian,;H5N1 HPAI;,47.867655,1.786327,SAINT-MALO-DE-PHILY (35289),France,Europe,2023-03-13T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Peregrin falcon:Falco peregrinus(Falconidae),",OIE,,,Confirmed
350473,Influenza - Avian,;H5N1 HPAI;,56.7778,16.4015,KALMAR,Sweden,Europe,2023-03-30T00:00:00Z,2023-04-05T00:00:00Z,"Wild,Greylag Goose:Anser anser(Anatidae),",OIE,,,Confirmed
351217,Influenza - Avian,;H5N1 HPAI;,50.062206,1.368352,LE TRÉPORT (76711) TYPE *,France,Europe,2023-03-25T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
351218,Influenza - Avian,;H5N1 HPAI;,49.871393,0.702253,SAINT-VALERY-EN-CAUX (76655),France,Europe,2023-03-28T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349315,Influenza - Avian,;H5N1 HPAI;,48.973856,2.299682,ENGHIEN-LES-BAINS (95210),France,Europe,2023-03-04T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349324,Influenza - Avian,;H5N1 HPAI;,48.976831,2.297678,SOISY-SOUS-MONTMORENCY (95598),France,Europe,2023-03-03T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349408,Influenza - Avian,;H5N1 HPAI;,43.35,3.216667,MARSEILLAN (34150),France,Europe,2023-03-01T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
